Example,Reference,Link,Relevant statistical results,Conclusion,Answer,
1,"Kaiser, D., Stein, T., & Peelen, M. V. (2015). Real-world spatial regularities affect visual working memory for objects. Psychonomic Bulletin & Review, 22(6), 17841790. doi:10.3758/s13423-015-0833-4",http://link.springer.com/article/10.3758/s13423-015-0833-4,"For the inverted pairs, we observed no significant difference in sensitivity between the two pair configurations, t < 1.","This effect was specific to upright stimuli, indicating that it did not reflect low-level grouping, because low-level grouping would be expected to equally affect memory for upright and inverted displays. These results suggest that objects can be held in visual working memory more efficiently when they are positioned according to frequently experienced real-world regularities.",,"Do these statistical results and conclusions correctly interpret their non-significant p values?

<- Use the drop down menu to give your response. "
2,"Glick, D. M., & Orsillo, S. M. (2015). An investigation of the efficacy of acceptance-based behavioral therapy for academic procrastination. Journal of Experimental Psychology: General, 144(2), 400409. https://doi.org/10.1037/xge0000050
",http://psycnet.apa.org/journals/xge/144/2/400/,"However, there were no differences between the TM condition (M=2.77, SD=4.84) and the ABBT condition (M=2.72, SD=4.34; t=.06, p=.95, d=.01) on the Ideal/Actual ratio constructed to measure behavioral procrastination.","Although a trend suggested that time management intervention participants completed more reading, no group differences in procrastination were revealed.",,
3,"Wilson, B. M., Mickes, L., Stolarz-Fantino, S., Evrard, M., & Fantino, E. (2015). Increased False-Memory Susceptibility After Mindfulness Meditation. Psychological Science, 26(10), 15671573. http://doi.org/10.1177/0956797615593705
",http://pss.sagepub.com/content/26/10/1567.abstract,"The mean number of correctly recalled words did not significantly differ between the mindfulness condition, 7.02, 95% CI = [6.68, 7.37], and the mind-wandering condition, 6.75, 95% CI = [6.35, 7.15], t(152) = 1.02, p > .250.",The overall number of words from the Deese-Roediger-McDermott paradigm that were correctly recalled did not differ between conditions.,,
4,"Hesslinger, V. M., Goldbach, L., & Carbon, C.-C. (2015). Men in red: A reexamination of the red-attractiveness effect. Psychonomic Bulletin & Review, 22(4), 11421148.",http://link.springer.com/article/10.3758/s13423-015-0866-8,"Participants in both color conditions gave comparable ratings of perceived attractiveness (condition red: M = 5.71, SD = 1.70; conditionwhite: M = 5.39, SD = 1.53) with the small difference between the average ratings not being statistically significant, t(87) = 0.92, p = 0.360, ns.",We did not find any significant impact of red in either of the studies.; Our results question the robustness and the ecological validity of Elliot et al.’s finding.,,
5,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107",http://psycnet.apa.org/journals/xge/144/5/951/,"Levels of conflict were similar in the two pro-intuition (M=4.79, SD=2.90) and two pro-reflection (M=4.54, SD=2.87) conditions, t(862)=1.27, p=.21, d=.08.","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.",,
6,"Storm, B. C., & Stone, S. M. (2015). Saving-Enhanced Memory: The Benefits of Saving on the Learning and Remembering of New Information. Psychological Science, 26(2), 182188. http://doi.org/10.1177/0956797614559285
",http://pss.sagepub.com/content/26/2/182.abstract,"Specifically, participants in the unreliable condition did not recall more words from File B when they had saved File A than when they had not saved File A, t(23) = 0.00, p = 1.00, d = 0.00, mean difference = .00, 95% CI = [-.07, .07].","Notably, this effect was not observed when the saving process was deemed unreliable or when the contents of the to-be-saved file were not substantial enough to interfere with memory for the new file.",,
7,"Susser, J. A., & Mulligan, N. W. (2015). The effect of motoric fluency on metamemory. Psychonomic Bulletin & Review, 22(4), 10141019.",http://link.springer.com/article/10.3758/s13423-014-0768-1,"A paired-samples t test on predictions revealed no difference between dominant (M = 46.80%,SE = 2.53) and nondominant (M = 49.37%, SE = 2.75) items, t < 1. This result suggests that people do not have a priori beliefs about an effect of hand dominance on memory and therefore indicates that the results of Experiments 1 and 2 were not driven by any such beliefs.",A questionnaire-based study suggested that the effect of motoric fluency on predictions was not due to peoples’ a priori beliefs about memory.,,
8,"Rueschemeyer, S.-A., Gardner, T., & Stoner, C. (2014). The Social N400 effect: how the presence of other listeners affects language comprehension. Psychonomic Bulletin & Review, 22(1), 128134. https://doi.org/10.3758/s13423-014-0654-x
",http://link.springer.com/article/10.3758/s13423-014-0654-x,"This hypothesis was confirmed in two paired samples t tests indicating a significant effect for IMPLAUS sentences, IMPLAUS < PLAUS, t(16) = 3.62, p < .005, r2 = .45, but no significant effect for CONTEXT sentences versus PLAUS sentences, t(16) = -.50, p = .61.","Crucially, in a second group of participants, we demonstrate that presenting exactly the same sentences to the participant alone (i.e. without a co-listener) results in no N400-effect.",,
9,"Drouin, H., & Davidson, P. S. R. (2015). Any effects of social orientation priming on object-location memory are smaller than initially reported. Journal of Experimental Psychology: General, 144(6), e107e115. doi:10.1037/xge0000102",http://psycnet.apa.org/journals/xge/144/6/e107/,"A t test for independent samples on object-location memory showed no significant effect of priming, t(99) =.50, p =.616, d =.12.","In Experiment 3 (n = 101), we octupled the priming “dosage” and again saw no significant effects on memory.",,
10,"Molesworth, C., Chevallier, C., Happé, F., & Hampton, J. A. (2015). Children with autism do not show sequence effects with auditory stimuli. Journal of Experimental Psychology: General, 144(1), 4857. https://doi.org/10.1037/a0038204
",http://psycnet.apa.org/journals/xge/144/1/48/,"The mean proportions of perseverative responses to these tones were very similar between participant groups (ASD group: M = .37, SD = .16; TD group: M = .33, SD = .17), with no significant group difference, t(30) = .66, p = .51, d = .23.","The typically developing group alone demonstrated a category contrast effect. The data suggest that this finding cannot be attributed readily to participant group differences in discrimination sensitivity, perseveration, difficulties on the associated binary categorization task, or greater reliance on long-term memory.",,
11,"Haberman, J., Brady, T. F., & Alvarez, G. A. (2015). Individual differences in ensemble perception reveal multiple, independent levels of ensemble representation. Journal of Experimental Psychology: General, 144(2), 432446. https://doi.org/10.1037/xge0000053
",http://psycnet.apa.org/journals/xge/144/2/432/,"In contrast, the top panel of Figure 3 shows that the correlations across feature domains (orientation task to face task) were weak both for individual judgments (individual orientation vs. individual face, r = .04, p = .81; 95% Cl [—0.25, 0.31]), and for ensemble judgments (ensemble orientation vs. ensemble face, r = .05, p = .72; 95% Cl [-0.23, 0.34]).","High-level ensemble representations (e.g., average facial expression) showed complete independence from low-level ensemble representations (e.g., average orientation).",,
12,"FeldmanHall, O., Raio, C. M., Kubota, J. T., Seiler, M. G., & Phelps, E. A. (2015). The Effects of Social Context and Acute Stress on Decision Making Under Uncertainty. Psychological Science, 26(12), 19181926. http://doi.org/10.1177/0956797615605807",http://pss.sagepub.com/content/26/12/1918.abstract,"Subjects in the control condition spent approximately the same amount of money irrespective of whether they were gambling (lottery game: M = $3.74, SD = 2.40) or entrusting money to a partner (trust game: M = $3.81, SD = 2.1), t(27) = -0.25, p = .80 (paired-samples t test), behaving consistently overall irrespective of context...",Those who were not under stress exhibited no differences between the amount of money gambled and the amount of money entrusted to partners.,,
13,"Storm, B. C., & Stone, S. M. (2015). Saving-Enhanced Memory: The Benefits of Saving on the Learning and Remembering of New Information. Psychological Science, 26(2), 182188. http://doi.org/10.1177/0956797614559285
",http://pss.sagepub.com/content/26/2/182.abstract,"When File A consisted of only two words, participants did not recall significantly more words from File B after they had saved File A than after they had not saved File A, t(23) = 0.40, p = .69, d = 0.08, mean difference = .01 (95% CI = [-.05, .07]).","Notably, this effect was not observed when the saving process was deemed unreliable or when the contents of the to-be-saved file were not substantial enough to interfere with memory for the new file.",,
14,"Fan, S. P., Liberman, Z., Keysar, B., & Kinzler, K. D. (2015). The Exposure Advantage: Early Exposure to a Multilingual Environment Promotes Effective Communication. Psychological Science, 26(7), 10901097. http://doi.org/10.1177/0956797615574699
",pss.sagepub.com/content/26/7/1090.abstract,"Children in the bilingual and exposure groups were significantly more likely than children in the monolingual group to move the target, t(46) = 2.81, p = .007, d = 0.83, and t(46) = 2.51, p = .016, d = 0.74, respectively, whereas the performance of the bilingual and exposure groups did not differ, t(46) = 0.072, p = .94, d = 0.02.","Children who were merely exposed to a second language performed as well as bilingual children, despite having lower executive-function scores. Thus, the communicative advantages demonstrated by the bilinguals may be social in origin, and not due to enhanced executive control.",,
15,"Chiu, Y.-C., & Egner, T. (2015). Inhibition-Induced Forgetting: When More Control Leads to Less Memory. Psychological Science, 26(1), 2738. http://doi.org/10.1177/0956797614553945
",http://pss.sagepub.com/content/26/1/27.abstract,"Note that d' did not differ between no stimuli (M = 0.81, 95% CI= [0.70, 0.92]) and yes stimuli (M = 0.87, 95% CI = [0.76, 0.98]), t(52) = 0.88, p > .1, Cohen’s d = 0.12 (Fig. 3).",Experiment 4 showed that this inhibition-induced forgetting was not attributable to event congruency.,,